Id_transaction;Surface Carrez du 1er lot;Nombre de lots;Type local;Nombre pieces principales
1;48,22;2;Appartement;3
2;39,11;2;Appartement;1
3;80,25;1;Appartement;3
4;27,51;1;Appartement;1
5;47,33;1;Appartement;2
6;25,31;1;Appartement;1
7;70,84;2;Appartement;3
8;67,19;2;Appartement;3
9;18,89;2;Appartement;1
10;105,37;2;Maison;4
11;31,99;1;Appartement;2
12;96,21;1;Maison;5
13;30,86;2;Appartement;1
14;66,21;2;Appartement;3
15;45,58;1;Appartement;2
16;23,2;1;Appartement;1
17;13,1;1;Appartement;1
18;29;1;Appartement;2
19;51,4;1;Appartement;2
20;16,79;2;Appartement;1
21;51,4;1;Appartement;2
22;68,22;1;Appartement;3
23;88,45;1;Maison;4
24;42,94;2;Appartement;2
25;76,48;2;Appartement;4
26;48,23;1;Maison;3
27;49,91;1;Appartement;2
28;46,3;2;Appartement;2
29;47,24;2;Appartement;2
30;81,09;2;Appartement;4
31;39,69;1;Appartement;2
32;43,85;1;Appartement;3
33;108,78;1;Appartement;4
34;89,84;3;Appartement;3
35;48,35;1;Appartement;2
36;19,11;1;Appartement;1
37;97,39;2;Appartement;5
38;31,73;1;Appartement;1
39;49,89;1;Appartement;2
40;20,02;1;Appartement;1
41;34,86;2;Appartement;2
42;39,05;1;Appartement;2
43;18,93;1;Appartement;1
44;88,59;1;Appartement;4
45;30,05;1;Appartement;2
46;32,3;2;Appartement;2
47;120,28;2;Appartement;4
48;17,94;1;Appartement;2
49;28,39;1;Appartement;2
50;18;2;Appartement;2
51;51,44;1;Appartement;3
52;10,06;1;Appartement;1
53;88,3;2;Appartement;4
54;23,98;1;Appartement;1
55;53,59;1;Appartement;2
56;24,3;1;Appartement;2
57;61,52;2;Appartement;4
58;57,27;2;Appartement;3
59;23,98;1;Appartement;1
60;35,32;1;Appartement;2
61;89,41;1;Appartement;4
62;106,19;2;Appartement;5
63;67,76;2;Appartement;4
64;40,55;1;Appartement;2
65;84,31;1;Appartement;5
66;74;1;Appartement;3
67;49,16;2;Appartement;2
68;50,74;1;Appartement;2
69;20,15;1;Appartement;1
70;47,52;1;Appartement;2
71;86,92;1;Maison;5
72;37,24;1;Appartement;2
73;43,12;1;Appartement;2
74;30,42;1;Appartement;1
75;71,03;2;Appartement;4
76;62,95;1;Appartement;2
77;43,54;1;Appartement;2
78;128,34;1;Appartement;5
79;43,42;1;Appartement;2
80;49,45;2;Appartement;3
81;62,1;2;Appartement;3
82;59,35;1;Appartement;3
83;52,85;1;Appartement;2
84;106,31;1;Maison;4
85;77,93;1;Appartement;4
86;46;1;Appartement;2
87;24,63;1;Appartement;2
88;67,1;1;Appartement;3
89;80;1;Maison;4
90;48,02;1;Appartement;2
91;16,37;1;Appartement;1
92;72,53;2;Appartement;4
93;90,07;1;Maison;5
94;57,1;2;Appartement;3
95;41,82;1;Appartement;1
96;165,11;4;Appartement;6
97;124,01;3;Appartement;3
98;24,32;1;Appartement;1
99;106,43;3;Appartement;4
100;32,89;1;Appartement;1
101;37,66;1;Appartement;2
102;58,42;1;Appartement;3
103;99,04;2;Appartement;4
104;30,2;1;Appartement;3
105;68,75;2;Appartement;3
106;56,05;1;Appartement;2
107;55,5;1;Appartement;3
108;53,09;1;Appartement;3
109;48,24;1;Appartement;2
110;28,4;1;Appartement;1
111;51,01;1;Appartement;3
112;51,54;1;Appartement;3
113;34,83;1;Appartement;2
114;12,44;1;Appartement;1
115;53,76;1;Appartement;2
116;52,82;1;Maison;2
117;32,18;1;Appartement;1
118;49,9;1;Maison;3
119;68,3;3;Appartement;4
120;54,42;1;Appartement;2
121;64;2;Appartement;4
122;31,05;1;Appartement;1
123;127,96;4;Appartement;5
124;106,03;1;Maison;5
125;32,29;1;Appartement;2
126;39,5;1;Appartement;2
127;20;1;Appartement;1
128;60,07;1;Appartement;3
129;54;2;Appartement;2
130;44,12;1;Appartement;2
131;61,16;1;Appartement;4
132;86,3;1;Maison;4
133;39,23;1;Appartement;2
134;24,6;1;Appartement;1
135;42,2;1;Appartement;2
136;63,1;1;Appartement;3
137;21;3;Appartement;1
138;95,74;2;Appartement;3
139;60,55;1;Appartement;3
140;29,78;1;Maison;1
141;18,63;1;Appartement;1
142;82,35;1;Maison;3
143;94,39;1;Maison;4
144;62,14;2;Appartement;3
145;47,34;2;Appartement;2
146;42,25;1;Appartement;2
147;65,71;1;Appartement;3
148;72,37;1;Appartement;1
149;57,88;1;Appartement;2
150;119,95;1;Appartement;4
151;36,6;1;Appartement;2
152;97,51;1;Appartement;3
