id_codedep_codecom;Commune;Code departement
01103;CHEVRY;01
06004;ANTIBES;06
06088;NICE;06
06123;SAINT LAURENT DU VAR;06
13005;AUBAGNE;13
13028;LA CIOTAT;13
13208;MARSEILLE 8EME;13
13212;MARSEILLE 12EME;13
14338;HOULGATE;14
14366;LISIEUX;14
17300;LA ROCHELLE;17
25056;BESANCON;25
29232;QUIMPER;29
29260;SAINT RENAN;29
31555;TOULOUSE;31
33063;BORDEAUX;33
33097;CARCANS;33
33449;SAINT MEDARD EN JALLES;33
34145;LUNEL;34
34150;MARSEILLAN;34
34199;PEZENAS;34
37156;MONTLOUIS-SUR-LOIRE;37
37261;TOURS;37
38185;GRENOBLE;38
40266;ST-JULIEN-EN-BORN;40
40328;VIEUX BOUCAU-LES-BAINS;40
44143;REZE;44
44184;SAINT-NAZAIRE;44
51230;EPERNAY;51
54395;NANCY;54
56161;PLOEMEL;56
58194;NEVERS;58
59512;ROUBAIX;59
60057;BEAUVAIS;60
60155;CIRES LES MELLO;60
60159;COMPIEGNE;60
60524;RANTIGNY;60
69149;OULLINS;69
69384;LYON 4EME;69
74119;EVIAN-LES-BAINS;74
74236;SAINT GERVAIS LES BAINS;74
74238;SAINT-JEAN-D'AULPS;74
74278;THYEZ;74
75105;PARIS 05;75
75110;PARIS 10;75
75111;PARIS 11;75
75112;PARIS 12;75
75115;PARIS 15;75
75118;PARIS 18;75
76217;DIEPPE;76
76451;MONT-SAINT-AIGNAN;76
76655;SAINT-VALERY-EN-CAUX;76
77118;CLAYE-SOUILLY;77
78350;LOUVECIENNES;78
78423;MONTIGNY LE BRETONNEUX;78
78545;SAINT-CYR-L ECOLE;78
78551;SAINT-GERMAIN-EN-LAYE;78
78586;SARTROUVILLE;78
78640;VELIZY VILLACOUBLAY;78
83062;LA GARDE;83
83069;HYERES;83
83112;SAINT-CYR-SUR-MER;83
83123;SANARY SUR MER;83
84007;AVIGNON;84
85047;CHALLANS;85
86062;CHASSENEUIL-DU-POITOU;86
86194;POITIERS;86
87075;ISLE;87
87085;LIMOGES;87
91249;FORGES-LES-BAINS;91
91689;WISSOUS;91
92025;COLOMBES;92
92026;COURBEVOIE;92
92036;GENNEVILLIERS;92
92044;LEVALLOIS-PERRET;92
93032;GAGNY;93
93051;NOISY-LE-GRAND;93
93057;LES PAVILLONS-SOUS-BOIS;93
93071;SEVRAN;93
94044;LIMEIL-BREVANNES;94
94060;LA QUEUE-EN-BRIE;94
94080;VINCENNES;94
95252;FRANCONVILLE LA GARENNE;95
95388;MENUCOURT;95
95607;TAVERNY;95
01262;MONTLUEL;01
02408;LAON;02
03190;MOULINS;03
04073;ENCHASTRAYES;04
04166;RIEZ;04
04209;SISTERON;04
06027;CAGNES SUR MER;06
06159;VILLEFRANCHE-SUR-MER;06
10323;ROMILLY SUR SEINE;10
13119;CARNOUX-EN-PROVENCE;13
13201;MARSEILLE 1ER;13
13204;MARSEILLE 4EME;13
13206;MARSEILLE 6EME;13
13209;MARSEILLE 9EME;13
14118;CAEN;14
14333;HONFLEUR;14
14715;TROUVILLE-SUR-MER;14
14754;VILLERS-SUR-MER;14
17414;SAINT-XANDRE;17
22113;LANNION;22
22168;PERROS-GUIREC;22
22278;SAINT-BRIEUC;22
24322;PERIGUEUX;24
25527;SAINT VIT;25
28085;CHARTRES;28
30003;AIGUES-MORTES;30
30007;ALES;30
30133;LE GRAU DU ROI;30
30189;NIMES;30
32013;AUCH;32
33005;ANDERNOS-LES-BAINS;33
33075;BRUGES;33
33550;VILLENAVE D ORNON;33
34023;BALARUC LES BAINS;34
38169;FONTAINE;38
38253;LES DEUX ALPES;38
40046;BISCARROSSE;40
40088;DAX;40
40304;SOORTS-HOSSEGOR;40
42256;SAINT-MARCELLIN-EN-FOREZ;42
44109;NANTES;44
44190;ST SEBASTIEN SUR LOIRE;44
44204;THOUARE-SUR-LOIRE;44
45234;ORLEANS;45
45286;SAINT-JEAN-LE-BLANC;45
50002;AGNEAUX;50
51454;REIMS;51
56062;GAVRES;56
59368;LA MADELEINE;59
59378;MARCQ EN BAROEUL;59
59491;RAISMES;59
60382;MARGNY LES COMPIEGNE;60
60395;MERU;60
62041;ARRAS;62
63300;RIOM;63
69003;ALBIGNY-SUR-SAONE;69
69204;SAINT-GENIS-LAVAL;69
69264;VILLEFRANCHE;69
69389;LYON 9EME;69
70550;VESOUL;70
74014;ARACHES LA FRASSE;74
74249;SAINT-PAUL-EN-CHABLAIS;74
75102;PARIS 02;75
75103;PARIS 03;75
75104;PARIS 04;75
75106;PARIS 06;75
75107;PARIS 07;75
75114;PARIS 14;75
75117;PARIS 17;75
75120;PARIS 20;75
76351;LE HAVRE;76
76447;MONTIVILLIERS;76
77005;ANNET-SUR-MARNE;77
77014;AVON;77
77058;BUSSY-SAINT-GEORGES;77
77059;BUSSY-SAINT-MARTIN;77
77192;FONTENAY-TRESIGNY;77
77259;LONGPERRIER;77
77288;MELUN;77
77379;PROVINS;77
78005;ACHERES;78
78372;MARLY-LE-ROI;78
78383;MAUREPAS;78
78550;SAINT-GERMAIN-DE-LA-GRANGE;78
78621;TRAPPES;78
78646;VERSAILLES;78
82096;LA VILLE DIEU DU TEMPLE;82
83009;BANDOL;83
83034;CARQUEIRANNE;83
83070;LE LAVANDOU;83
85035;BRETIGNOLLES-SUR-MER;85
85127;LONGEVILLE-SUR-MER;85
85194;SABLES-D'OLONNE (LES);85
85262;SAINT-PHILBERT-DE-BOUAINE;85
88372;RAON L ETAPE;88
90010;BELFORT;90
91114;BRUNOY;91
91225;ETIOLLES;91
91326;JUVISY SUR ORGE;91
91377;MASSY;91
91425;MONTLHERY;91
91570;SAINT-MICHEL-SUR-ORGE;91
91589;SAVIGNY-SUR-ORGE;91
92004;ASNIERES-SUR-SEINE;92
92009;BOIS-COLOMBES;92
92012;BOULOGNE-BILLANCOURT;92
92014;BOURG-LA-REINE;92
92022;CHAVILLE;92
92023;CLAMART;92
92048;MEUDON;92
92050;NANTERRE;92
92063;RUEIL-MALMAISON;92
92075;VANVES;92
93001;AUBERVILLIERS;93
93006;BAGNOLET;93
93010;BONDY;93
93048;MONTREUIL;93
94016;CACHAN;94
