Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01001;L ABERGEMENT CLEMENCIAT;Province;Auvergne-Rhône-Alpes
01002;L ABERGEMENT DE VAREY;Province;Auvergne-Rhône-Alpes
01003;AMAREINS;Province;Auvergne-Rhône-Alpes
01004;AMBERIEU EN BUGEY;Province;Auvergne-Rhône-Alpes
01005;AMBERIEUX EN DOMBES;Province;Auvergne-Rhône-Alpes
01006;AMBLEON;Province;Auvergne-Rhône-Alpes
01007;AMBRONAY;Province;Auvergne-Rhône-Alpes
01008;AMBUTRIX;Province;Auvergne-Rhône-Alpes
01009;ANDERT ET CONDON;Province;Auvergne-Rhône-Alpes
01010;ANGLEFORT;Province;Auvergne-Rhône-Alpes
01011;APREMONT;Province;Auvergne-Rhône-Alpes
01012;ARANC;Province;Auvergne-Rhône-Alpes
01013;ARANDAS;Province;Auvergne-Rhône-Alpes
01014;ARBENT;Province;Auvergne-Rhône-Alpes
01015;ARBIGNIEU;Province;Auvergne-Rhône-Alpes
01016;ARBIGNY;Province;Auvergne-Rhône-Alpes
01017;ARGIS;Province;Auvergne-Rhône-Alpes
01018;ARLOD;Province;Auvergne-Rhône-Alpes
01019;ARMIX;Province;Auvergne-Rhône-Alpes
01020;ARNANS;Province;Auvergne-Rhône-Alpes
01021;ARS SUR FORMANS;Province;Auvergne-Rhône-Alpes
01022;ARTEMARE;Province;Auvergne-Rhône-Alpes
01023;ASNIERES SUR SAONE;Province;Auvergne-Rhône-Alpes
01024;ATTIGNAT;Province;Auvergne-Rhône-Alpes
01025;BAGE LA VILLE;Province;Auvergne-Rhône-Alpes
01026;BAGE LE CHATEL;Province;Auvergne-Rhône-Alpes
01027;BALAN;Province;Auvergne-Rhône-Alpes
01028;BANEINS;Province;Auvergne-Rhône-Alpes
01029;BEAUPONT;Province;Auvergne-Rhône-Alpes
01030;BEAUREGARD;Province;Auvergne-Rhône-Alpes
01031;BELLIGNAT;Province;Auvergne-Rhône-Alpes
01032;BELIGNEUX;Province;Auvergne-Rhône-Alpes
01033;BELLEGARDE SUR VALSERINE;Province;Auvergne-Rhône-Alpes
01034;BELLEY;Province;Auvergne-Rhône-Alpes
01035;BELLEYDOUX;Province;Auvergne-Rhône-Alpes
01036;BELMONT LUTHEZIEU;Province;Auvergne-Rhône-Alpes
01037;BENONCES;Province;Auvergne-Rhône-Alpes
01038;BENY;Province;Auvergne-Rhône-Alpes
01039;BEON;Province;Auvergne-Rhône-Alpes
01040;BEREZIAT;Province;Auvergne-Rhône-Alpes
01041;BETTANT;Province;Auvergne-Rhône-Alpes
01042;BEY;Province;Auvergne-Rhône-Alpes
01043;BEYNOST;Province;Auvergne-Rhône-Alpes
01044;BILLIAT;Province;Auvergne-Rhône-Alpes
01045;BIRIEUX;Province;Auvergne-Rhône-Alpes
01046;BIZIAT;Province;Auvergne-Rhône-Alpes
01047;BLYES;Province;Auvergne-Rhône-Alpes
01048;BOHAS;Province;Auvergne-Rhône-Alpes
01049;LA BOISSE;Province;Auvergne-Rhône-Alpes
01050;BOISSEY;Province;Auvergne-Rhône-Alpes
01051;BOLOZON;Province;Auvergne-Rhône-Alpes
01052;BOULIGNEUX;Province;Auvergne-Rhône-Alpes
01053;BOURG EN BRESSE;Province;Auvergne-Rhône-Alpes
01054;BOURG ST CHRISTOPHE;Province;Auvergne-Rhône-Alpes
01055;BOUVENT;Province;Auvergne-Rhône-Alpes
01056;BOYEUX ST JEROME;Province;Auvergne-Rhône-Alpes
01057;BOZ;Province;Auvergne-Rhône-Alpes
01058;BREGNIER CORDON;Province;Auvergne-Rhône-Alpes
01059;BRENAZ;Province;Auvergne-Rhône-Alpes
01060;BRENOD;Province;Auvergne-Rhône-Alpes
01061;BRENS;Province;Auvergne-Rhône-Alpes
01062;BRESSOLLES;Province;Auvergne-Rhône-Alpes
01063;BRION;Province;Auvergne-Rhône-Alpes
01064;BRIORD;Province;Auvergne-Rhône-Alpes
01065;BUELLAS;Province;Auvergne-Rhône-Alpes
01066;LA BURBANCHE;Province;Auvergne-Rhône-Alpes
01067;CEIGNES;Province;Auvergne-Rhône-Alpes
01068;CERDON;Province;Auvergne-Rhône-Alpes
01069;CERTINES;Province;Auvergne-Rhône-Alpes
01070;CESSEINS;Province;Auvergne-Rhône-Alpes
01071;CESSY;Province;Auvergne-Rhône-Alpes
01072;CEYZERIAT;Province;Auvergne-Rhône-Alpes
01073;CEYZERIEU;Province;Auvergne-Rhône-Alpes
