id_bien;Date mutation;Valeur fonciere;Commune;Code departement;id_codedep_codecom;Surface Carrez du 1er lot;Nombre de lots;Type local;Nombre pieces principales
1;2020/01/02;165000;CHEVRY;01;01103;48,22;2;Appartement;3
2;2020/01/02;355680;ANTIBES;06;06004;39,11;2;Appartement;1
3;2020/01/02;229500;NICE;06;06088;80,25;1;Appartement;3
4;2020/01/02;125000;SAINT LAURENT DU VAR;06;06123;27,51;1;Appartement;1
5;2020/01/02;90000;AUBAGNE;13;13005;47,33;1;Appartement;2
6;2020/01/02;93000;LA CIOTAT;13;13028;25,31;1;Appartement;1
7;2020/01/02;298100;MARSEILLE 8EME;13;13208;70,84;2;Appartement;3
8;2020/01/02;163500;MARSEILLE 12EME;13;13212;67,19;2;Appartement;3
9;2020/01/02;53000;HOULGATE;14;14338;18,89;2;Appartement;1
10;2020/01/02;136000;LISIEUX;14;14366;105,37;2;Maison;4
11;2020/01/02;125900;LA ROCHELLE;17;17300;31,99;1;Appartement;2
12;2020/01/02;234000;BESANCON;25;25056;96,21;1;Maison;5
13;2020/01/02;46210;QUIMPER;29;29232;30,86;2;Appartement;1
14;2020/01/02;129000;SAINT RENAN;29;29260;66,21;2;Appartement;3
15;2020/01/02;122500;TOULOUSE;31;31555;45,58;1;Appartement;2
16;2020/01/02;86025;BORDEAUX;33;33063;23,2;1;Appartement;1
17;2020/01/02;79000;BORDEAUX;33;33063;13,1;1;Appartement;1
18;2020/01/02;81795;CARCANS;33;33097;29;1;Appartement;2
19;2020/01/02;156000;SAINT MEDARD EN JALLES;33;33449;51,4;1;Appartement;2
20;2020/01/02;139900;LUNEL;34;34145;16,79;2;Appartement;1
21;2020/01/02;163870;MARSEILLAN;34;34150;51,4;1;Appartement;2
22;2020/01/02;108100;PEZENAS;34;34199;68,22;1;Appartement;3
23;2020/01/02;205000;MONTLOUIS-SUR-LOIRE;37;37156;88,45;1;Maison;4
24;2020/01/02;94000;TOURS;37;37261;42,94;2;Appartement;2
25;2020/01/02;149500;GRENOBLE;38;38185;76,48;2;Appartement;4
26;2020/01/02;111500;ST-JULIEN-EN-BORN;40;40266;48,23;1;Maison;3
27;2020/01/02;140000;VIEUX BOUCAU-LES-BAINS;40;40328;49,91;1;Appartement;2
28;2020/01/02;122850;REZE;44;44143;46,3;2;Appartement;2
29;2020/01/02;135850;SAINT-NAZAIRE;44;44184;47,24;2;Appartement;2
30;2020/01/02;135500;EPERNAY;51;51230;81,09;2;Appartement;4
31;2020/01/02;71250;NANCY;54;54395;39,69;1;Appartement;2
32;2020/01/02;107000;PLOEMEL;56;56161;43,85;1;Appartement;3
33;2020/01/02;148400;NEVERS;58;58194;108,78;1;Appartement;4
34;2020/01/02;132000;ROUBAIX;59;59512;89,84;3;Appartement;3
35;2020/01/02;107194;BEAUVAIS;60;60057;48,35;1;Appartement;2
36;2020/01/02;57200;CIRES LES MELLO;60;60155;19,11;1;Appartement;1
37;2020/01/02;124770;COMPIEGNE;60;60159;97,39;2;Appartement;5
38;2020/01/02;67000;RANTIGNY;60;60524;31,73;1;Appartement;1
39;2020/01/02;150830;OULLINS;69;69149;49,89;1;Appartement;2
40;2020/01/02;68900;LYON 4EME;69;69384;20,02;1;Appartement;1
41;2020/01/02;120000;EVIAN-LES-BAINS;74;74119;34,86;2;Appartement;2
42;2020/01/02;135460;SAINT GERVAIS LES BAINS;74;74236;39,05;1;Appartement;2
43;2020/01/02;62000;SAINT-JEAN-D'AULPS;74;74238;18,93;1;Appartement;1
44;2020/01/02;281000;THYEZ;74;74278;88,59;1;Appartement;4
45;2020/01/02;357000;PARIS 05;75;75105;30,05;1;Appartement;2
46;2020/01/02;374000;PARIS 10;75;75110;32,3;2;Appartement;2
