Com_code;regrgp_nom;reg_nom;com_nom_maj_court
01001;Province;Auvergne-Rhône-Alpes;L ABERGEMENT CLEMENCIAT
01002;Province;Auvergne-Rhône-Alpes;L ABERGEMENT DE VAREY
01003;Province;Auvergne-Rhône-Alpes;AMAREINS
01004;Province;Auvergne-Rhône-Alpes;AMBERIEU EN BUGEY
01005;Province;Auvergne-Rhône-Alpes;AMBERIEUX EN DOMBES
01006;Province;Auvergne-Rhône-Alpes;AMBLEON
01007;Province;Auvergne-Rhône-Alpes;AMBRONAY
01008;Province;Auvergne-Rhône-Alpes;AMBUTRIX
01009;Province;Auvergne-Rhône-Alpes;ANDERT ET CONDON
01010;Province;Auvergne-Rhône-Alpes;ANGLEFORT
01011;Province;Auvergne-Rhône-Alpes;APREMONT
01012;Province;Auvergne-Rhône-Alpes;ARANC
01013;Province;Auvergne-Rhône-Alpes;ARANDAS
01014;Province;Auvergne-Rhône-Alpes;ARBENT
01015;Province;Auvergne-Rhône-Alpes;ARBIGNIEU
01016;Province;Auvergne-Rhône-Alpes;ARBIGNY
01017;Province;Auvergne-Rhône-Alpes;ARGIS
01018;Province;Auvergne-Rhône-Alpes;ARLOD
01019;Province;Auvergne-Rhône-Alpes;ARMIX
01020;Province;Auvergne-Rhône-Alpes;ARNANS
01021;Province;Auvergne-Rhône-Alpes;ARS SUR FORMANS
01022;Province;Auvergne-Rhône-Alpes;ARTEMARE
01023;Province;Auvergne-Rhône-Alpes;ASNIERES SUR SAONE
01024;Province;Auvergne-Rhône-Alpes;ATTIGNAT
01025;Province;Auvergne-Rhône-Alpes;BAGE LA VILLE
01026;Province;Auvergne-Rhône-Alpes;BAGE LE CHATEL
01027;Province;Auvergne-Rhône-Alpes;BALAN
01028;Province;Auvergne-Rhône-Alpes;BANEINS
01029;Province;Auvergne-Rhône-Alpes;BEAUPONT
01030;Province;Auvergne-Rhône-Alpes;BEAUREGARD
01031;Province;Auvergne-Rhône-Alpes;BELLIGNAT
01032;Province;Auvergne-Rhône-Alpes;BELIGNEUX
01033;Province;Auvergne-Rhône-Alpes;BELLEGARDE SUR VALSERINE
01034;Province;Auvergne-Rhône-Alpes;BELLEY
01035;Province;Auvergne-Rhône-Alpes;BELLEYDOUX
01036;Province;Auvergne-Rhône-Alpes;BELMONT LUTHEZIEU
01037;Province;Auvergne-Rhône-Alpes;BENONCES
