Codedep_com;COM;PTOT;
01001;L'Abergement-Clémenciat;798;
01002;L'Abergement-de-Varey;257;
01004;Ambérieu-en-Bugey;14514;
01005;Ambérieux-en-Dombes;1776;
01006;Ambléon;118;
01007;Ambronay;2915;
01008;Ambutrix;777;
01009;Andert-et-Condon;335;
01010;Anglefort;1122;
01011;Apremont;379;
01012;Aranc;333;
01013;Arandas;147;
01014;Arbent;3442;
01015;Arboys en Bugey;667;
01016;Arbigny;469;
01017;Argis;473;
01019;Armix;31;
01021;Ars-sur-Formans;1485;
01022;Artemare;1267;
01023;Asnières-sur-Saône;76;
01024;Attignat;3316;
01025;Bâgé-Dommartin;4171;
01026;Bâgé-le-Châtel;1041;
01027;Balan;2615;
01028;Baneins;634;
01029;Beaupont;693;
01030;Beauregard;844;
01031;Bellignat;3886;
01032;Béligneux;3405;
01033;Valserhône;16728;
01034;Belley;9582;
01035;Belleydoux;318;
01036;Valromey-sur-Séran;1345;
01037;Bénonces;312;
01038;Bény;775;
01039;Béon;451;
01040;Béréziat;496;
01041;Bettant;769;
01042;Bey;305;
01043;Beynost;4867;
01044;Billiat;648;
01045;Birieux;287;
01046;Biziat;903;
01047;Blyes;1214;
01049;La Boisse;3356;
01050;Boissey;369;
01051;Bolozon;92;
01052;Bouligneux;334;
01053;Bourg-en-Bresse;42853;
01054;Bourg-Saint-Christophe;1489;
01056;Boyeux-Saint-Jérôme;354;
01057;Boz;535;
01058;Brégnier-Cordon;849;
01060;Brénod;514;
01061;Brens;1179;
01062;Bressolles;956;
01063;Brion;540;
01064;Briord;1090;
01065;Buellas;1876;
01066;La Burbanche;90;
01067;Ceignes;268;
01068;Cerdon;790;
01069;Certines;1542;
01071;Cessy;4925;
01072;Ceyzériat;3256;
01073;Ceyzérieu;1025;
01074;Chalamont;2624;
01075;Chaleins;1413;
01076;Chaley;128;
01077;Challes-la-Montagne;199;
01078;Challex;1590;
01079;Champagne-en-Valromey;842;
01080;Champdor-Corcelles;657;
01081;Champfromier;756;
01082;Chanay;642;
01083;Chaneins;944;
01084;Chanoz-Châtenay;913;
01085;La Chapelle-du-Châtelard;405;
01087;Charix;292;
01088;Charnoz-sur-Ain;930;
01089;Château-Gaillard;2303;
01090;Châtenay;362;
01092;Châtillon-la-Palud;1662;
01093;Châtillon-sur-Chalaronne;5134;
01094;Chavannes-sur-Reyssouze;773;
01095;Nivigne et Suran;865;
01096;Chaveyriat;1064;
01098;Chazey-Bons;1195;
01099;Chazey-sur-Ain;1623;
01100;Cheignieu-la-Balme;135;
01101;Chevillard;159;
01102;Chevroux;976;
01103;Chevry;2196;
01104;Chézery-Forens;471;
01105;Civrieux;1882;
01106;Cize;186;
01107;Cleyzieu;137;
01108;Coligny;1200;
01109;Collonges;2272;
01110;Colomieu;158;
01111;Conand;133;
01112;Condamine;462;
01113;Condeissiat;829;
01114;Confort;679;
01115;Confrançon;1363;
01116;Contrevoz;510;
01117;Conzieu;153;
01118;Corbonod;1310;
01121;Corlier;117;
01123;Cormoranche-sur-Saône;1197;
01124;Cormoz;697;
01125;Corveissiat;625;
01127;Courmangoux;516;
01128;Courtes;306;
01129;Crans;297;
01130;Bresse Vallons;2407;
01133;Cressin-Rochefort;400;
01134;Crottet;1803;
01135;Crozet;2235;
01136;Cruzilles-lès-Mépillat;913;
01138;Culoz;3068;
01139;Curciat-Dongalon;449;
01140;Curtafond;786;
01141;Cuzieu;468;
01142;Dagneux;4834;
01143;Divonne-les-Bains;10190;
01145;Dompierre-sur-Veyle;1201;
01146;Dompierre-sur-Chalaronne;439;
01147;Domsure;495;
01148;Dortan;1925;
01149;Douvres;1104;
01150;Drom;219;
01151;Druillat;1173;
01152;Echallon;768;
01153;Echenevex;2189;
01155;Evosges;147;
01156;Faramans;827;
01157;Fareins;2292;
01158;Farges;1065;
01159;Feillens;3436;
01160;Ferney-Voltaire;10189;
01162;Flaxieu;68;
01163;Foissiat;2073;
01165;Francheleins;1627;
01166;Frans;2484;
01167;Garnerans;658;
01169;Genouilleux;663;
01170;Béard-Géovreissiat;1081;
01171;Géovreisset;886;
01173;Gex;13391;
01174;Giron;180;
01175;Gorrevod;807;
01177;Grand-Corent;189;
01179;Grièges;1933;
01180;Grilly;860;
01181;Groissiat;1291;
01183;Guéreins;1508;
01184;Hautecourt-Romanèche;789;
01185;Plateau d'Hauteville;5020;
01187;Haut Valromey;639;
01188;Illiat;683;
01189;Injoux-Génissiat;1141;
01190;Innimond;90;
01191;Izenave;158;
01192;Izernore;2338;
01193;Izieu;229;
01194;Jassans-Riottier;6439;
01195;Jasseron;1837;
01196;Jayat;1239;
01197;Journans;364;
01198;Joyeux;271;
01199;Jujurieux;2183;
01200;Labalme;219;
01202;Lagnieu;7308;
01203;Laiz;1355;
01204;Le Poizat-Lalleyriat;750;
01206;Lantenay;283;
01207;Lapeyrouse;329;
01208;Lavours;135;
01209;Léaz;794;
01210;Lélex;232;
01211;Lent;1430;
01212;Lescheroux;727;
01213;Leyment;1370;
01214;Leyssard;164;
01215;Surjoux-Lhopital;143;
01216;Lhuis;915;
01219;Lompnas;167;
01224;Loyettes;3256;
01225;Lurcy;380;
01227;Magnieu;657;
01228;Maillat;674;
01229;Malafretaz;1259;
01230;Mantenay-Montlin;319;
01231;Manziat;1996;
01232;Marboz;2323;
01233;Marchamp;133;
01234;Marignieu;172;
01235;Marlieux;1246;
01236;Marsonnas;1040;
01237;Martignat;1732;
01238;Massieux;2726;
01239;Massignieu-de-Rives;634;
01240;Matafelon-Granges;643;
01241;Meillonnas;1390;
01242;Mérignat;137;
01243;Messimy-sur-Saône;1288;
01244;Meximieux;8062;
01245;Bohas-Meyriat-Rignat;964;
01246;Mézériat;2253;
01247;Mijoux;326;
01248;Mionnay;2251;
01249;Miribel;10273;
01250;Misérieux;2226;
01252;Mogneneins;808;
01254;Montagnat;2167;
01255;Montagnieu;659;
01257;Montanges;361;
01258;Montceaux;1222;
01259;Montcet;718;
01260;Le Montellier;307;
01261;Monthieux;691;
01262;Montluel;6969;
01263;Montmerle-sur-Saône;3859;
01264;Montracol;1036;
01265;Montréal-la-Cluse;3527;
01266;Montrevel-en-Bresse;2618;
01267;Nurieux-Volognat;1048;
01268;Murs-et-Gélignieux;249;
01269;Nantua;3589;
01272;Neuville-les-Dames;1520;
01273;Neuville-sur-Ain;1827;
01274;Les Neyrolles;660;
01275;Neyron;2619;
01276;Niévroz;1651;
01277;Nivollet-Montgriffon;119;
01279;Oncieu;86;
01280;Ordonnaz;139;
01281;Ornex;4653;
01282;Outriaz;264;
01283;Oyonnax;22935;
01284;Ozan;707;
01285;Parcieux;1259;
01286;Parves et Nattages;989;
01288;Péron;2772;
01289;Péronnas;6811;
01290;Pérouges;1305;
01291;Perrex;849;
01293;Peyriat;152;
01294;Peyrieu;902;
01295;Peyzieux-sur-Saône;699;
01296;Pirajoux;428;
01297;Pizay;882;
01298;Plagne;152;
01299;Le Plantay;592;
01301;Polliat;2608;
01302;Pollieu;168;
01303;Poncin;1735;
01304;Pont-d'Ain;2977;
01305;Pont-de-Vaux;2256;
01306;Pont-de-Veyle;1705;
01307;Port;857;
01308;Pougny;821;
01309;Pouillat;85;
01310;Prémeyzel;255;
01311;Prémillieu;44;
01313;Prévessin-MoÃ«ns;8950;
01314;Priay;1762;
01317;Ramasse;336;
01318;Rancé;743;
01319;Relevant;475;
01320;Replonges;3882;
01321;Revonnas;917;
01322;Reyrieux;5124;
01323;Reyssouze;1003;
01325;Rignieux-le-Franc;1050;
01328;Romans;601;
01329;Rossillon;159;
01330;Ruffieu;188;
01331;Saint-Alban;187;
01332;Saint-André-de-Bâgé;802;
01333;Saint-André-de-Corcy;3428;
01334;Saint-André-d'Huiriat;667;
01335;Saint-André-le-Bouchoux;408;
01336;Saint-André-sur-Vieux-Jonc;1196;
01337;Saint-Bénigne;1338;
01338;Groslée-Saint-Benoit;1264;
01339;Saint-Bernard;1506;
01342;Sainte-Croix;565;
01343;Saint-Cyr-sur-Menthon;1834;
01344;Saint-Denis-lès-Bourg;6109;
01345;Saint-Denis-en-Bugey;2300;
01346;Saint-Didier-d'Aussiat;877;
01347;Saint-Didier-de-Formans;2098;
01348;Saint-Didier-sur-Chalaronne;3003;
01349;Saint-Eloi;508;
01350;Saint-Etienne-du-Bois;2582;
01351;Saint-Etienne-sur-Chalaronne;1597;
01352;Saint-Etienne-sur-Reyssouze;589;
01353;Sainte-Euphémie;1728;
01354;Saint-Genis-Pouilly;14143;
01355;Saint-Genis-sur-Menthon;493;
01356;Saint-Georges-sur-Renon;213;
01357;Saint-Germain-de-Joux;509;
01358;Saint-Germain-les-Paroisses;432;
01359;Saint-Germain-sur-Renon;249;
01360;Saint-Jean-de-Gonville;1943;
01361;Saint-Jean-de-Niost;1625;
01362;Saint-Jean-de-Thurigneux;801;
01363;Saint-Jean-le-Vieux;1842;
01364;Saint-Jean-sur-Reyssouze;763;
01365;Saint-Jean-sur-Veyle;1182;
01366;Sainte-Julie;1100;
01367;Saint-Julien-sur-Reyssouze;750;
01368;Saint-Julien-sur-Veyle;853;
01369;Saint-Just;967;
01370;Saint-Laurent-sur-Saône;1716;
01371;Saint-Marcel;1271;
01372;Saint-Martin-de-Bavel;449;
01373;Saint-Martin-du-Frêne;1053;
01374;Saint-Martin-du-Mont;1916;
01375;Saint-Martin-le-Châtel;802;
01376;Saint-Maurice-de-Beynost;4001;
01378;Saint-Maurice-de-Gourdans;2699;
01379;Saint-Maurice-de-Rémens;771;
01380;Saint-Nizier-le-Bouchoux;645;
01381;Saint-Nizier-le-Désert;939;
01382;Sainte-Olive;281;
01383;Saint-Paul-de-Varax;1583;
01384;Saint-Rambert-en-Bugey;2221;
01385;Saint-Rémy;1008;
01386;Saint-Sorlin-en-Bugey;1193;
01387;Saint-Sulpice;259;
01388;Saint-Trivier-de-Courtes;1111;
01389;Saint-Trivier-sur-Moignans;1877;
01390;Saint-Vulbas;1267;
01391;Salavre;279;
01392;Samognat;683;
01393;Sandrans;549;
01396;Sault-Brénaz;990;
01397;Sauverny;997;
01398;Savigneux;1438;
01399;Ségny;2158;
01400;Seillonnaz;142;
01401;Sergy;2238;
01402;Sermoyer;672;
01403;Serrières-de-Briord;1336;
01404;Serrières-sur-Ain;137;
01405;Servas;1309;
01406;Servignat;175;
01407;Seyssel;1020;
01408;Simandre-sur-Suran;673;
01410;Sonthonnax-la-Montagne;307;
01411;Souclin;279;
01412;Sulignat;607;
01415;Talissieu;505;
01416;Tenay;1025;
01418;Thil;1114;
01419;Thoiry;6197;
01420;Thoissey;1698;
01421;Torcieu;745;
01422;Tossiat;1391;
01423;Toussieux;1145;
01424;Tramoyes;1819;
01425;La Tranclière;295;
01426;Val-Revermont;2597;
01427;Trévoux;7084;
01428;Valeins;127;
01429;Vandeins;720;
01430;Varambon;631;
01431;Vaux-en-Bugey;1257;
01432;Verjon;325;
01433;Vernoux;317;
01434;Versailleux;482;
01435;Versonnex;2226;
01436;Vesancy;492;
01437;Vescours;228;
01439;Vésines;103;
01441;Vieu-d'Izenave;752;
01443;Villars-les-Dombes;5073;
01444;Villebois;1213;
01445;Villemotier;636;
01446;Villeneuve;1585;
01447;Villereversure;1374;
01448;Villes;397;
01449;Villette-sur-Ain;773;
01450;Villieu-Loyes-Mollon;3784;
01451;Viriat;6745;
01452;Virieu-le-Grand;1156;
01453;Arvière-en-Valromey;733;
01454;Virignin;1133;
01456;Vongnes;73;
01457;Vonnas;3240;
02001;Abbécourt;513;
02002;Achery;618;
02003;Acy;1045;
02004;Agnicourt-et-Séchelles;187;
